CLIENTE,STATUS,IDADE,ESTADO,RESIDENCIA,TEMP_RESID_ANO_COMPLET,ESTADO_CIVIL,INSTRU,RENDA_TOTAL,RST
CLI_0001,mau,44,MG,PROP,5.0,CASADO,SEC,6040,sim
CLI_0002,bom,46,MG,ALUG,12.0,CASADO,SUP,6986,sim
CLI_0003,bom,56,MG,PROP,12.0,CASADO,SUP,8797,sim
CLI_0004,bom,31,RJ,ALUG,4.0,CASADO,SEC,4968,sim
CLI_0005,bom,46,RJ,PROP,8.0,CASADO,Não Informado,7430,sim
CLI_0006,bom,43,RJ,ALUG,1.0,CASADO,PRIM,7185,sim
CLI_0007,bom,26,SC,PROP,1.0,CASADO,SEC,5652,sim
CLI_0008,mau,60,RJ,ALUG,0.0,VIUVO,Não Informado,8760,sim
CLI_0009,bom,39,RJ,PROP,10.0,CASADO,Não Informado,6699,nao
CLI_0010,bom,59,SC,PROP,12.0,CASADO,Não Informado,7425,sim
CLI_0011,bom,37,RJ,PROP,6.0,CASADO,PRIM,6362,sim
CLI_0012,mau,54,SC,PROP,16.0,CASADO,SEC,8554,sim
CLI_0013,mau,37,RJ,PROP,12.0,CASADO,SUP,5776,sim
CLI_0014,mau,50,MG,PROP,6.0,CASADO,Não Informado,7988,sim
CLI_0015,bom,33,RJ,PROP,33.0,CASADO,SEC,4942,sim
CLI_0016,bom,57,SC,PROP,22.0,CASADO,SUP,7908,sim
CLI_0017,mau,33,RJ,ALUG,2.0,CASADO,SEC,5286,nao
CLI_0018,bom,51,SC,PROP,20.0,CASADO,PRIM,6663,sim
CLI_0019,bom,48,SC,PROP,15.0,CASADO,SEC,7026,sim
CLI_0020,mau,44,SC,PROP,7.0,CASADO,Não Informado,7600,sim
CLI_0021,mau,69,SC,PROP,20.0,CASADO,SUP,8892,sim
CLI_0022,bom,62,SC,PROP,4.0,CASADO,SEC,8110,sim
CLI_0023,bom,40,RJ,PROP,13.0,CASADO,SUP,6222,sim
CLI_0024,bom,28,RJ,PROP,9.0,CASADO,Não Informado,5569,sim
CLI_0025,mau,61,MG,PROP,15.0,CASADO,SUP,9361,sim
CLI_0026,bom,54,SC,ALUG,5.0,CASADO,SEC,7555,sim
CLI_0027,bom,34,RJ,PROP,12.0,CASADO,SEC,5099,sim
CLI_0028,bom,32,RJ,PROP,3.0,CASADO,SUP,6022,sim
CLI_0029,bom,53,RJ,PROP,22.0,CASADO,SUP,8324,sim
CLI_0030,mau,30,RJ,ALUG,1.0,CASADO,SUP,5356,sim
CLI_0031,mau,61,SC,PROP,9.0,CASADO,SUP,8066,sim
CLI_0032,bom,30,RJ,ALUG,4.0,CASADO,SUP,4969,sim
CLI_0033,bom,26,RJ,PROP,5.0,CASADO,SEC,5625,sim
CLI_0034,mau,37,RJ,PROP,12.0,CASADO,SUP,5253,sim
CLI_0035,mau,43,SC,PROP,15.0,CASADO,SEC,6792,sim
CLI_0036,mau,56,MG,PROP,14.0,CASADO,PRIM,8769,sim
CLI_0037,mau,60,RJ,PROP,10.0,CASADO,SEC,7505,sim
CLI_0038,mau,60,RJ,PROP,10.0,CASADO,SEC,8415,sim
CLI_0039,mau,34,RJ,PROP,6.0,VIUVO,SEC,5254,sim
CLI_0040,bom,50,RJ,PROP,22.0,CASADO,SUP,7335,sim
CLI_0041,bom,62,SP,PROP,50.0,CASADO,SUP,8422,sim
CLI_0042,mau,46,RJ,PROP,25.0,CASADO,PRIM,7779,sim
CLI_0043,bom,46,SC,PROP,3.0,CASADO,SUP,6267,sim
CLI_0044,bom,35,RJ,PROP,6.0,VIUVO,SUP,5838,sim
CLI_0045,bom,30,RJ,PROP,2.0,CASADO,SUP,6141,sim
CLI_0046,bom,61,SC,PROP,27.0,CASADO,Não Informado,8490,sim
CLI_0047,bom,70,SC,PROP,30.0,CASADO,SUP,10227,sim
CLI_0048,bom,52,SC,PROP,3.0,DIVORCIADO,SUP,6723,sim
CLI_0049,bom,56,RJ,PROP,20.0,VIUVO,SEC,8266,sim
CLI_0050,bom,32,RJ,PROP,13.0,CASADO,SEC,5689,sim
CLI_0051,bom,27,RJ,ALUG,1.0,CASADO,SEC,5892,sim
CLI_0052,bom,28,RJ,PROP,1.0,CASADO,SUP,4752,sim
CLI_0053,bom,36,RJ,PROP,3.0,CASADO,Não Informado,5725,sim
CLI_0054,bom,36,RJ,Não Informado,12.0,CASADO,Não Informado,6211,sim
CLI_0055,bom,34,RJ,ALUG,12.0,CASADO,SEC,6440,sim
CLI_0056,bom,54,RJ,PROP,4.0,VIUVO,Não Informado,7019,sim
CLI_0057,bom,53,SC,PROP,2.0,DIVORCIADO,SUP,7197,sim
CLI_0058,bom,53,SC,PROP,9.0,CASADO,SUP,8571,sim
CLI_0059,bom,66,RJ,PROP,20.0,CASADO,SUP,9385,nao
CLI_0060,bom,76,SC,PROP,8.0,DIVORCIADO,Não Informado,10855,sim
CLI_0061,bom,39,SC,PROP,13.0,DIVORCIADO,SUP,7180,nao
CLI_0062,bom,25,RJ,PROP,12.0,CASADO,SUP,4404,sim
CLI_0063,mau,39,RJ,PROP,14.0,CASADO,SEC,6809,nao
CLI_0064,mau,48,RJ,PROP,8.0,VIUVO,Não Informado,6405,nao
CLI_0065,bom,58,RJ,PROP,31.0,CASADO,Não Informado,8840,sim
CLI_0066,mau,58,RJ,PROP,16.0,CASADO,Não Informado,7570,sim
CLI_0067,bom,36,RJ,PROP,6.0,CASADO,SUP,6595,nao
CLI_0068,bom,61,RJ,PROP,12.0,CASADO,Não Informado,9363,sim
CLI_0069,bom,52,MG,PROP,5.0,CASADO,Não Informado,8447,sim
CLI_0070,bom,34,SP,ALUG,1.0,CASADO,SEC,5545,sim
CLI_0071,bom,51,SC,PROP,11.0,DIVORCIADO,SUP,6996,sim
CLI_0072,bom,42,RJ,PROP,11.0,CASADO,SUP,6458,sim
CLI_0073,bom,24,RJ,Não Informado,13.0,CASADO,SEC,5415,sim
CLI_0074,bom,63,RJ,ALUG,15.0,CASADO,SEC,9380,nao
CLI_0075,bom,41,RJ,PROP,5.0,CASADO,SUP,6196,sim
CLI_0076,bom,27,RJ,OUTR,2.0,CASADO,SEC,4549,sim
CLI_0077,bom,59,SC,PROP,11.0,CASADO,Não Informado,8447,sim
CLI_0078,mau,32,RJ,PROP,6.0,CASADO,SUP,6206,sim
CLI_0079,bom,32,RJ,PROP,1.0,CASADO,SUP,4792,nao
CLI_0080,mau,44,MG,PROP,10.0,CASADO,SUP,7217,sim
CLI_0081,bom,54,SC,OUTR,10.0,DIVORCIADO,Não Informado,8261,nao
CLI_0082,mau,50,RJ,ALUG,3.0,CASADO,SEC,7070,sim
CLI_0083,mau,29,RJ,ALUG,6.0,CASADO,SEC,4468,nao
CLI_0084,bom,66,RJ,PROP,19.0,CASADO,Não Informado,8214,sim
CLI_0085,bom,77,RJ,PROP,11.0,VIUVO,SUP,10561,sim
CLI_0086,bom,46,SP,PROP,10.0,CASADO,SEC,7195,sim
CLI_0087,mau,37,RJ,ALUG,13.0,CASADO,SUP,5256,sim
CLI_0088,mau,47,RJ,PROP,5.0,CASADO,SUP,6429,sim
CLI_0089,mau,37,RJ,PROP,10.0,CASADO,SUP,6237,sim
CLI_0090,mau,52,RJ,PROP,20.0,CASADO,Não Informado,8412,sim
CLI_0091,bom,36,MG,PROP,6.0,CASADO,SUP,6481,sim
CLI_0092,bom,38,RJ,PROP,8.0,CASADO,PRIM,5378,sim
CLI_0093,mau,63,RJ,PROP,12.0,CASADO,Não Informado,9298,nao
CLI_0094,mau,31,RJ,PROP,2.0,CASADO,SUP,5352,sim
CLI_0095,bom,50,RJ,PROP,15.0,VIUVO,PRIM,7903,nao
CLI_0096,bom,76,SC,PROP,8.0,DIVORCIADO,Não Informado,10388,sim
CLI_0097,bom,31,RJ,ALUG,4.0,CASADO,SEC,4892,sim
CLI_0098,bom,53,SC,PROP,24.0,DIVORCIADO,SUP,8546,nao
CLI_0099,bom,32,RJ,OUTR,4.0,VIUVO,SUP,6222,sim
CLI_0100,bom,48,RJ,PROP,13.0,CASADO,Não Informado,6624,sim
CLI_0101,mau,34,RJ,OUTR,11.0,CASADO,Não Informado,5303,sim
CLI_0102,bom,42,MG,OUTR,1.0,CASADO,SEC,6953,sim
CLI_0103,bom,32,RJ,OUTR,4.0,VIUVO,SUP,5956,sim
CLI_0104,bom,48,SC,PROP,2.0,DIVORCIADO,SUP,7116,sim
CLI_0105,bom,86,RJ,PROP,40.0,CASADO,SEC,11447,sim
CLI_0106,bom,58,RJ,PROP,25.0,CASADO,Não Informado,7420,sim
CLI_0107,bom,63,SC,PROP,7.0,DIVORCIADO,SUP,8614,sim
CLI_0108,mau,61,RJ,Não Informado,12.0,CASADO,Não Informado,7822,sim
CLI_0109,bom,68,RJ,PROP,11.0,VIUVO,Não Informado,9584,nao
CLI_0110,mau,31,RJ,OUTR,1.0,CASADO,SUP,5223,sim
CLI_0111,mau,38,RJ,OUTR,11.0,CASADO,SUP,6907,sim
CLI_0112,mau,35,RJ,PROP,3.0,CASADO,SUP,5538,sim
CLI_0113,bom,35,SC,PROP,1.0,CASADO,SUP,6673,sim
CLI_0114,mau,35,MG,PROP,10.0,CASADO,SUP,5666,sim
CLI_0115,mau,32,RJ,PROP,4.0,CASADO,SUP,5437,sim
CLI_0116,mau,53,RJ,PROP,23.0,CASADO,Não Informado,7592,sim
CLI_0117,bom,39,RJ,OUTR,2.0,CASADO,Não Informado,5609,sim
CLI_0118,mau,32,RJ,OUTR,4.0,CASADO,SUP,5167,sim
CLI_0119,bom,43,RJ,PROP,10.0,CASADO,SUP,6141,sim
CLI_0120,bom,34,RJ,PROP,11.0,CASADO,SEC,5773,sim
CLI_0121,bom,62,RJ,PROP,16.0,CASADO,Não Informado,8201,sim
CLI_0122,mau,70,SC,PROP,1.0,DIVORCIADO,SEC,8925,2
CLI_0123,mau,61,SC,PROP,15.0,DIVORCIADO,SUP,7881,sim
CLI_0124,mau,38,RJ,ALUG,2.0,CASADO,PRIM,5714,sim
CLI_0125,mau,53,SC,PROP,12.0,CASADO,SEC,6802,sim
CLI_0126,bom,35,RJ,PROP,7.0,CASADO,SEC,5462,sim
CLI_0127,bom,70,RJ,PROP,15.0,VIUVO,PRIM,8568,sim
CLI_0128,bom,29,RJ,PROP,2.0,CASADO,SEC,5053,sim
CLI_0129,mau,38,RJ,OUTR,11.0,CASADO,SUP,5674,sim
CLI_0130,bom,45,SP,PROP,16.0,CASADO,SUP,6593,sim
CLI_0131,mau,31,RJ,OUTR,1.0,CASADO,SUP,5232,nao
CLI_0132,bom,35,RJ,PROP,10.0,CASADO,SUP,6588,sim
CLI_0133,bom,77,SC,PROP,17.0,DIVORCIADO,Não Informado,9995,sim
CLI_0134,bom,54,RJ,PROP,13.0,CASADO,SEC,6941,sim
CLI_0135,mau,55,RJ,PROP,3.0,VIUVO,Não Informado,7405,sim
CLI_0136,bom,44,MG,PROP,13.0,CASADO,SEC,6449,sim
CLI_0137,bom,56,RJ,OUTR,2.0,CASADO,SEC,7139,sim
CLI_0138,bom,40,RJ,PROP,4.0,CASADO,Não Informado,6649,sim
CLI_0139,bom,38,SC,Não Informado,26.0,DIVORCIADO,SEC,6381,nao
CLI_0140,bom,39,SC,PROP,13.0,DIVORCIADO,SUP,6874,sim
CLI_0141,mau,43,RJ,PROP,6.0,CASADO,PRIM,6432,sim
CLI_0142,bom,68,RJ,PROP,11.0,VIUVO,Não Informado,9444,nao
CLI_0143,bom,53,RJ,ALUG,3.0,VIUVO,SUP,8419,sim
CLI_0144,bom,44,RJ,PROP,20.0,CASADO,SUP,7637,sim
CLI_0145,mau,67,RJ,PROP,27.0,CASADO,Não Informado,9806,sim
CLI_0146,mau,38,RJ,PROP,8.0,CASADO,SUP,6227,sim
CLI_0147,bom,23,RJ,ALUG,10.0,SOLTEIRO,SEC,5483,sim
CLI_0148,bom,35,RJ,PROP,1.0,CASADO,PRIM,6196,sim
CLI_0149,bom,42,RJ,PROP,5.0,CASADO,SEC,6614,nao
CLI_0150,bom,62,RJ,PROP,14.0,CASADO,Não Informado,9482,sim
CLI_0151,bom,54,RJ,PROP,25.0,CASADO,SUP,8454,sim
